config,rank,pothole_id,priority_score,severity_category
severity_only,50,pothole600_testing_0101,10.828,Very Low
severity_only,51,kaggle_indian_roads_UngradedRoad_68,10.714,Very Low
severity_only,52,pothole600_testing_0099,10.706,Very Low
severity_only,53,pothole600_testing_0007,10.192,Very Low
severity_only,54,kaggle_annotated_potholes_img-56,10.176,Very Low
severity_only,55,pothole600_testing_0014,9.956,Very Low
severity_only,56,kaggle_indian_roads_PotHoles_716,9.748,Very Low
severity_only,57,pothole600_testing_0091,9.349,Very Low
severity_only,58,pothole600_testing_0085,9.048,Very Low
severity_only,59,kaggle_severity_levels_img-63,8.471,Very Low
severity_only,60,kaggle_potholes_yolov8_pothole_103,7.702,Very Low
traffic_heavy,1,pothole600_testing_0077,90.590,Medium
traffic_heavy,2,kaggle_indian_roads_PotHoles_plus_unpaved_36,90.394,Medium
traffic_heavy,3,pothole600_testing_0105,89.524,Medium
traffic_heavy,4,kaggle_potholes_yolov8_pothole_436,85.381,Low
traffic_heavy,5,pothole600_testing_0131,84.615,Low
traffic_heavy,6,kaggle_annotated_potholes_img-534,84.181,Low
traffic_heavy,7,kaggle_indian_roads_UngradedRoad_68,82.143,Very Low
traffic_heavy,8,pothole600_testing_0179,66.282,Low
traffic_heavy,9,pothole600_testing_0063,63.076,Low
traffic_heavy,10,pothole600_testing_0091,60.870,Very Low
traffic_heavy,11,pothole600_testing_0071,57.547,Very Low
traffic_heavy,12,pothole600_testing_0132,55.181,Low
traffic_heavy,13,kaggle_indian_roads_AN_unpaved_167,54.676,Low
traffic_heavy,14,kaggle_indian_roads_AN_unpaved_182,53.152,Low
traffic_heavy,15,kaggle_annotated_potholes_img-443,51.134,Very Low
traffic_heavy,16,kaggle_annotated_potholes_img-397,51.040,High
traffic_heavy,17,kaggle_potholes_yolov8_pothole_772,50.518,High
traffic_heavy,18,kaggle_potholes_yolov8_pothole_103,50.040,Very Low
traffic_heavy,19,kaggle_potholes_yolov8_pothole_761,45.796,Low
traffic_heavy,20,kaggle_indian_roads_PotHoles_460,45.618,Low
traffic_heavy,21,kaggle_potholes_yolov8_pothole_106,45.249,Low
traffic_heavy,22,kaggle_annotated_potholes_img-281,44.594,Low
traffic_heavy,23,pothole600_testing_0161,44.247,Low
traffic_heavy,24,kaggle_annotated_potholes_img-514,43.242,Very Low
traffic_heavy,25,kaggle_indian_roads_PotHoles_340,42.925,Low
traffic_heavy,26,kaggle_potholes_yolov8_pothole_711,42.780,Low
traffic_heavy,27,pothole600_testing_0054,42.468,Low
traffic_heavy,28,kaggle_potholes_yolov8_pothole_1746,42.439,Low
traffic_heavy,29,kaggle_severity_levels_img-686,41.917,Very Low
traffic_heavy,30,pothole600_testing_0085,41.810,Very Low
traffic_heavy,31,pothole600_testing_0127,41.305,Very Low
traffic_heavy,32,pothole600_testing_0135,40.752,Very Low
traffic_heavy,33,pothole600_testing_0146,40.639,Very Low
traffic_heavy,34,pothole600_testing_0014,39.991,Very Low
traffic_heavy,35,kaggle_indian_roads_PotHoles_716,39.950,Very Low
traffic_heavy,36,pothole600_testing_0080,39.868,Low
traffic_heavy,37,pothole600_testing_0169,39.153,Low
traffic_heavy,38,kaggle_indian_roads_Speed_206,37.519,Very Low
traffic_heavy,39,pothole600_testing_0067,36.804,Low
traffic_heavy,40,kaggle_indian_roads_AN_unpaved_234,36.388,Low
traffic_heavy,41,kaggle_annotated_potholes_img-517,35.157,Low
traffic_heavy,42,kaggle_annotated_potholes_img-1,35.123,Very Low
traffic_heavy,43,pothole600_testing_0097,34.514,Very Low
traffic_heavy,44,pothole600_testing_0109,34.462,Very Low
traffic_heavy,45,kaggle_potholes_yolov8_pothole_522,34.425,High
traffic_heavy,46,pothole600_testing_0101,34.166,Very Low
traffic_heavy,47,pothole600_testing_0007,34.038,Very Low
traffic_heavy,48,kaggle_annotated_potholes_img-56,33.035,Very Low
traffic_heavy,49,kaggle_severity_levels_img-63,31.694,Very Low
traffic_heavy,50,pothole600_testing_0117,30.236,Low
traffic_heavy,51,kaggle_potholes_yolov8_pothole_589,29.354,Low
traffic_heavy,52,pothole600_testing_0139,29.100,Very Low
traffic_heavy,53,kaggle_indian_roads_PotHoles_699,29.038,Low
traffic_heavy,54,kaggle_annotated_potholes_img-380,28.501,Low
traffic_heavy,55,pothole600_testing_0025,25.010,Very Low
traffic_heavy,56,pothole600_testing_0037,25.004,Very Low
traffic_heavy,57,pothole600_testing_0017,24.559,Very Low
traffic_heavy,58,pothole600_testing_0032,24.346,Very Low
traffic_heavy,59,kaggle_annotated_potholes_img-157,24.344,Very Low
traffic_heavy,60,pothole600_testing_0099,24.141,Very Low
