config,image_id,score,category
area_only,kaggle_indian_roads_AN_unpaved_15,4.605,Very Low
area_only,kaggle_annotated_potholes_img-297,18.173,Very Low
area_only,pothole600_testing_0083,12.627,Very Low
area_only,pothole600_testing_0031,4.491,Very Low
area_only,pothole600_testing_0075,18.801,Very Low
area_only,pothole600_testing_0073,12.119,Very Low
area_only,kaggle_potholes_yolov8_pothole_716,19.337,Very Low
area_only,pothole600_testing_0111,11.559,Very Low
area_only,kaggle_indian_roads_PotHoles_876,24.471,Low
area_only,pothole600_testing_0050,3.658,Very Low
area_only,pothole600_testing_0066,18.784,Very Low
area_only,kaggle_potholes_yolov8_pothole_1694,11.963,Very Low
area_only,pothole600_testing_0074,30.162,Low
area_only,kaggle_indian_roads_AN_unpaved_13,28.163,Low
area_only,kaggle_potholes_yolov8_pothole_49,29.170,Low
area+depth,kaggle_indian_roads_UngradedRoad_239,28.409,Low
area+depth,pothole600_testing_0115,13.239,Very Low
area+depth,pothole600_testing_0094,34.301,Low
area+depth,kaggle_potholes_yolov8_pothole_775,13.237,Very Low
area+depth,kaggle_severity_levels_img-690,0.179,Very Low
area+depth,pothole600_testing_0106,6.074,Very Low
area+depth,pothole600_testing_0045,2.349,Very Low
area+depth,pothole600_testing_0078,7.335,Very Low
area+depth,pothole600_testing_0159,6.673,Very Low
area+depth,kaggle_indian_roads_PotHoles_599 - Copy,3.762,Very Low
area+depth,kaggle_indian_roads_PotHoles_47,31.778,Low
area+depth,pothole600_testing_0154,3.817,Very Low
area+depth,pothole600_testing_0141,5.306,Very Low
area+depth,pothole600_testing_0122,15.864,Very Low
area+depth,kaggle_annotated_potholes_img-314,12.916,Very Low
area+depth,pothole600_testing_0065,47.379,Medium
area+depth,kaggle_indian_roads_AN_unpaved_135,10.265,Very Low
area+depth,pothole600_testing_0165,28.096,Low
area+depth,pothole600_testing_0088,5.164,Very Low
area+depth,kaggle_indian_roads_frame+86,5.435,Very Low
area+depth,pothole600_testing_0126,26.496,Low
area+depth,pothole600_testing_0015,14.367,Very Low
area+depth,kaggle_indian_roads_PotHoles_205,39.367,Low
area+depth,kaggle_indian_roads_AN_unpaved_219,8.171,Very Low
area+depth,pothole600_testing_0160,20.463,Low
area+depth,kaggle_severity_levels_img-717,0.702,Very Low
area+depth,kaggle_indian_roads_AN_unpaved_104,19.968,Very Low
area+depth,kaggle_indian_roads_PotHoles_14,46.285,Medium
area+depth,pothole600_testing_0081,22.753,Low
area+depth,kaggle_potholes_yolov8_pothole_539,37.844,Low
area+depth,pothole600_testing_0128,28.991,Low
area+depth,kaggle_annotated_potholes_img-433,10.120,Very Low
area+depth,pothole600_testing_0089,36.805,Low
area+depth,pothole600_testing_0020,2.529,Very Low
area+depth,pothole600_testing_0153,14.136,Very Low
area+depth,pothole600_testing_0012,2.404,Very Low
area+depth,kaggle_potholes_yolov8_pothole_96,17.770,Very Low
area+depth,kaggle_severity_levels_img-11,5.181,Very Low
area+depth,kaggle_potholes_yolov8_pothole_1395,17.721,Very Low
area+depth,kaggle_potholes_yolov8_pothole_113,2.766,Very Low
area+depth,kaggle_annotated_potholes_img-227,17.214,Very Low
area+depth,pothole600_testing_0167,26.923,Low
area+depth,kaggle_annotated_potholes_img-123,3.433,Very Low
area+depth,kaggle_potholes_yolov8_pothole_301,12.488,Very Low
area+depth,kaggle_indian_roads_PotHoles_415,22.425,Low
area+depth,pothole600_testing_0040,1.893,Very Low
area+depth,kaggle_annotated_potholes_img-59,6.761,Very Low
area+depth,kaggle_annotated_potholes_img-290,27.970,Low
area+depth,kaggle_indian_roads_UngradedRoad_77,6.280,Very Low
area+depth,pothole600_testing_0000,2.490,Very Low
area+depth,kaggle_indian_roads_PotHoles_447,28.657,Low
area+depth,pothole600_testing_0035,2.241,Very Low
area+depth,kaggle_indian_roads_PotHoles_451,40.599,Medium
area+depth,kaggle_indian_roads_frame+445,38.173,Low
area+depth,pothole600_testing_0137,29.906,Low
area+depth,kaggle_indian_roads_PotHoles_200,3.333,Very Low
area+depth,kaggle_indian_roads_AN_unpaved_40,16.259,Very Low
area+depth,kaggle_indian_roads_UngradedRoad_136,35.567,Low
area+depth,kaggle_annotated_potholes_img-623,67.073,High
area+depth,pothole600_testing_0001,16.718,Very Low
area+depth,pothole600_testing_0158,5.318,Very Low
area+depth,pothole600_testing_0176,14.782,Very Low
area+depth,kaggle_indian_roads_AN_unpaved_264,9.334,Very Low
area+depth,pothole600_testing_0156,20.112,Low
area+depth,kaggle_annotated_potholes_img-651,7.254,Very Low
area+depth,pothole600_testing_0072,9.393,Very Low
area+depth,pothole600_testing_0070,15.111,Very Low
area+depth,pothole600_testing_0092,25.907,Low
area+depth,kaggle_annotated_potholes_img-447,15.191,Very Low
area+depth,pothole600_testing_0043,16.924,Very Low
area+depth,pothole600_testing_0162,19.153,Very Low
area+depth,pothole600_testing_0150,14.104,Very Low
area+depth,kaggle_annotated_potholes_img-217,14.206,Very Low
area+depth,pothole600_testing_0051,10.119,Very Low
area+depth,pothole600_testing_0055,1.803,Very Low
area+depth,pothole600_testing_0005,2.010,Very Low
area+depth,kaggle_annotated_potholes_img-341,11.045,Very Low
area+depth,pothole600_testing_0021,2.123,Very Low
area+depth,kaggle_indian_roads_UngradedRoad_40,1.971,Very Low
area+depth,pothole600_testing_0076,12.177,Very Low
area+depth,kaggle_indian_roads_PotHoles_803,9.064,Very Low
area+depth,kaggle_annotated_potholes_img-108,3.495,Very Low
area+depth,pothole600_testing_0108,3.928,Very Low
area+depth,pothole600_testing_0143,12.781,Very Low
area+depth,pothole600_testing_0130,4.971,Very Low
area+depth,kaggle_indian_roads_AN_unpaved_15,3.433,Very Low
area+depth,kaggle_annotated_potholes_img-297,9.086,Very Low
area+depth,pothole600_testing_0083,6.314,Very Low
area+depth,pothole600_testing_0031,2.245,Very Low
area+depth,pothole600_testing_0075,9.401,Very Low
area+depth,pothole600_testing_0073,6.059,Very Low
area+depth,kaggle_potholes_yolov8_pothole_716,59.669,Medium
area+depth,pothole600_testing_0111,27.588,Low
area+depth,kaggle_indian_roads_PotHoles_876,26.339,Low
area+depth,pothole600_testing_0050,15.170,Very Low
area+depth,pothole600_testing_0066,9.392,Very Low
area+depth,kaggle_potholes_yolov8_pothole_1694,5.982,Very Low
area+depth,pothole600_testing_0074,65.081,High
area+depth,kaggle_indian_roads_AN_unpaved_13,21.023,Low
area+depth,kaggle_potholes_yolov8_pothole_49,14.585,Very Low
area+irregularity,kaggle_indian_roads_UngradedRoad_239,32.103,Low
area+irregularity,pothole600_testing_0115,24.548,Low
area+irregularity,pothole600_testing_0094,18.955,Very Low
area+irregularity,kaggle_potholes_yolov8_pothole_775,31.315,Low
area+irregularity,kaggle_severity_levels_img-690,16.500,Very Low
area+irregularity,pothole600_testing_0106,18.498,Very Low
area+irregularity,pothole600_testing_0045,18.083,Very Low
area+irregularity,pothole600_testing_0078,32.603,Low
area+irregularity,pothole600_testing_0159,28.853,Low
area+irregularity,kaggle_indian_roads_PotHoles_599 - Copy,12.308,Very Low
area+irregularity,kaggle_indian_roads_PotHoles_47,37.307,Low
area+irregularity,pothole600_testing_0154,27.758,Low
area+irregularity,pothole600_testing_0141,21.334,Low
area+irregularity,pothole600_testing_0122,23.246,Low
area+irregularity,kaggle_annotated_potholes_img-314,19.689,Very Low
area+irregularity,pothole600_testing_0065,35.601,Low
area+irregularity,kaggle_indian_roads_AN_unpaved_135,31.668,Low
area+irregularity,pothole600_testing_0165,36.241,Low
area+irregularity,pothole600_testing_0088,15.493,Very Low
area+irregularity,kaggle_indian_roads_frame+86,31.314,Low
area+irregularity,pothole600_testing_0126,30.983,Low
area+irregularity,pothole600_testing_0015,18.414,Very Low
area+irregularity,kaggle_indian_roads_PotHoles_205,58.636,Medium
area+irregularity,kaggle_indian_roads_AN_unpaved_219,25.959,Low
area+irregularity,pothole600_testing_0160,31.973,Low
area+irregularity,kaggle_severity_levels_img-717,8.436,Very Low
area+irregularity,kaggle_indian_roads_AN_unpaved_104,38.722,Low
area+irregularity,kaggle_indian_roads_PotHoles_14,33.213,Low
area+irregularity,pothole600_testing_0081,32.570,Low
area+irregularity,kaggle_potholes_yolov8_pothole_539,45.784,Medium
area+irregularity,pothole600_testing_0128,31.430,Low
area+irregularity,kaggle_annotated_potholes_img-433,25.561,Low
area+irregularity,pothole600_testing_0089,20.003,Low
area+irregularity,pothole600_testing_0020,19.794,Very Low
area+irregularity,pothole600_testing_0153,20.761,Low
area+irregularity,pothole600_testing_0012,15.642,Very Low
area+irregularity,kaggle_potholes_yolov8_pothole_96,34.004,Low
area+irregularity,kaggle_severity_levels_img-11,22.366,Low
area+irregularity,kaggle_potholes_yolov8_pothole_1395,27.323,Low
area+irregularity,kaggle_potholes_yolov8_pothole_113,14.318,Very Low
area+irregularity,kaggle_annotated_potholes_img-227,48.438,Medium
area+irregularity,pothole600_testing_0167,37.967,Low
area+irregularity,kaggle_annotated_potholes_img-123,10.181,Very Low
area+irregularity,kaggle_potholes_yolov8_pothole_301,62.488,High
area+irregularity,kaggle_indian_roads_PotHoles_415,31.686,Low
area+irregularity,pothole600_testing_0040,23.247,Low
area+irregularity,kaggle_annotated_potholes_img-59,29.111,Low
area+irregularity,kaggle_annotated_potholes_img-290,49.766,Medium
area+irregularity,kaggle_indian_roads_UngradedRoad_77,53.192,Medium
area+irregularity,pothole600_testing_0000,15.735,Very Low
area+irregularity,kaggle_indian_roads_PotHoles_447,34.499,Low
area+irregularity,pothole600_testing_0035,20.767,Low
area+irregularity,kaggle_indian_roads_PotHoles_451,30.377,Low
area+irregularity,kaggle_indian_roads_frame+445,43.760,Medium
area+irregularity,pothole600_testing_0137,23.504,Low
area+irregularity,kaggle_indian_roads_PotHoles_200,13.224,Very Low
area+irregularity,kaggle_indian_roads_AN_unpaved_40,47.436,Medium
area+irregularity,kaggle_indian_roads_UngradedRoad_136,45.310,Medium
area+irregularity,kaggle_annotated_potholes_img-623,29.556,Low
area+irregularity,pothole600_testing_0001,16.643,Very Low
area+irregularity,pothole600_testing_0158,31.766,Low
area+irregularity,pothole600_testing_0176,47.085,Medium
area+irregularity,kaggle_indian_roads_AN_unpaved_264,26.921,Low
area+irregularity,pothole600_testing_0156,25.541,Low
area+irregularity,kaggle_annotated_potholes_img-651,43.394,Medium
area+irregularity,pothole600_testing_0072,28.378,Low
area+irregularity,pothole600_testing_0070,28.597,Low
area+irregularity,pothole600_testing_0092,18.441,Very Low
area+irregularity,kaggle_annotated_potholes_img-447,30.176,Low
area+irregularity,pothole600_testing_0043,18.559,Very Low
area+irregularity,pothole600_testing_0162,28.562,Low
area+irregularity,pothole600_testing_0150,20.417,Low
area+irregularity,kaggle_annotated_potholes_img-217,14.309,Very Low
area+irregularity,pothole600_testing_0051,13.088,Very Low
area+irregularity,pothole600_testing_0055,13.836,Very Low
area+irregularity,pothole600_testing_0005,15.168,Very Low
area+irregularity,kaggle_annotated_potholes_img-341,29.215,Low
area+irregularity,pothole600_testing_0021,15.844,Very Low
area+irregularity,kaggle_indian_roads_UngradedRoad_40,51.971,Medium
area+irregularity,pothole600_testing_0076,36.526,Low
area+irregularity,kaggle_indian_roads_PotHoles_803,23.141,Low
area+irregularity,kaggle_annotated_potholes_img-108,16.555,Very Low
area+irregularity,pothole600_testing_0108,15.437,Very Low
area+irregularity,pothole600_testing_0143,25.137,Low
area+irregularity,pothole600_testing_0130,21.634,Low
area+irregularity,kaggle_indian_roads_AN_unpaved_15,18.679,Very Low
area+irregularity,kaggle_annotated_potholes_img-297,24.679,Low
area+irregularity,pothole600_testing_0083,15.161,Very Low
area+irregularity,pothole600_testing_0031,19.191,Very Low
area+irregularity,pothole600_testing_0075,28.260,Low
area+irregularity,pothole600_testing_0073,24.372,Low
area+irregularity,kaggle_potholes_yolov8_pothole_716,25.977,Low
area+irregularity,pothole600_testing_0111,37.748,Low
area+irregularity,kaggle_indian_roads_PotHoles_876,31.664,Low
area+irregularity,pothole600_testing_0050,13.752,Very Low
area+irregularity,pothole600_testing_0066,28.551,Low
area+irregularity,kaggle_potholes_yolov8_pothole_1694,20.502,Low
area+irregularity,pothole600_testing_0074,28.683,Low
area+irregularity,kaggle_indian_roads_AN_unpaved_13,64.081,High
area+irregularity,kaggle_potholes_yolov8_pothole_49,43.371,Medium
